Day;Attendance;Total Sales;Net Sales;Polly's Total Sales;Pioneer Total Sales;Polly's Sales;Pioneer Sales;Popcorn;Popcorn Sales;Snowcones;Snowcones Sales;Others;Chairs Sale;Chairs;Pop-A-Shot Sales;Pop-a-shot;Raffle-Tickets Sales;Raffle-Tickets;Nee-Dohs Sale;Nee-Dohs ;Candy Sales;Candy ;Temperature ;Category
1/6/26;283;173;674.95;72;7;115.2;10.64;25;24.75;69;119.37;404.99;28.56;28;0.0;0;10.4;10;344.19;21;21.84;13;75°F;Outside
8/6/26;146;147;519.53;100;5;165.0;9.6;5;4.9;37;70.3;269.73;14.98;14;23.04;24;42.8;40;168.5;10;20.41;13;87°F;Inside
15/6/26;294;265;883.14;114;14;151.62;27.86;103;93.73;34;55.08;554.85;38.88;36;18.8;20;30.38;31;455.59;29;11.2;8;82°F;Outside
22/6/26;257;211;1021.83;90;14;139.5;21.56;48;46.56;59;103.84;710.37;37.45;35;0.0;0;7.28;7;637.5;34;28.14;21;78°F;Inside
29/6/26;160;256;727.13;100;13;162.0;25.61;67;69.01;76;129.2;341.31;0.92;1;24.84;23;18.05;19;290.85;15;6.65;5;80°F;Outside
6/7/26;137;281;679.23;115;17;171.35;35.7;83;76.36;66;114.84;280.98;14.1;15;18.9;21;33.25;35;210.56;14;4.17;3;93°F;Inside
13/7/26;128;232;501.75;113;12;159.33;18.72;55;50.6;52;90.48;182.62;3.09;3;37.72;41;26.25;25;97.44;6;18.12;12;69°F;Outside
20/7/26;228;99;916.14;85;7;121.55;12.18;7;6.16;0;0.0;776.25;17.44;16;27.84;29;47.96;44;640.85;35;42.16;31;74°F;Inside
27/7/26;175;207;776.67;71;13;95.14;26.26;51;44.37;72;120.24;490.66;34.58;38;4.9;5;37.37;37;393.4;20;20.41;13;75°F;Outside
3/8/26;181;155;931.45;89;11;122.82;18.81;8;8.24;47;79.43;702.15;29.96;28;43.2;45;41.41;41;577.5;35;10.08;6;69°F;Inside
10/8/26;187;115;385.46;85;9;142.8;18.0;5;4.25;16;28.64;191.77;14.88;16;28.28;28;27.27;27;107.66;7;13.68;9;91°F;Outside
17/8/26;214;150;561.01;86;12;161.68;23.4;30;30.6;22;40.92;304.41;0.94;1;22.26;21;27.56;26;244.95;15;8.7;6;66°F;Inside
