Day;Pioneer Black Cherry;Pioneer Lemon;Pioneer Original;Pioneer Mix Berry;Polly Black Cherry;Polly Blue Raspberry;Polly Cream;Polly Diet Cream;Polly Diet Orange;Polly Diet Root Beer;Polly Diet Black Cherry;Polly Diet Strawberry;Polly Ginger Beer;Polly Donut;Polly Grape;Polly Orange;Polly Peach;Polly Pineapple;Polly Root Beer;Polly Strawberry
1/6/26;0;0;5;2;3;3;2;11;1;10;11;8;1;9;6;0;0;1;3;3
8/6/26;0;3;0;2;5;9;4;12;0;11;7;8;1;6;1;8;4;10;9;5
15/6/26;5;0;4;5;2;8;11;3;2;7;6;4;10;11;8;3;10;5;12;12
22/6/26;2;5;4;3;9;6;5;3;2;8;7;1;12;0;1;2;10;2;12;10
29/6/26;3;0;5;5;4;8;12;2;8;1;10;4;10;8;9;3;2;5;12;2
6/7/26;6;4;6;1;2;10;7;8;2;4;8;9;6;3;8;12;11;11;3;11
13/7/26;6;2;0;4;3;4;10;7;3;8;2;11;9;9;7;3;12;7;12;6
20/7/26;1;2;3;1;1;7;12;8;1;0;10;8;0;1;12;3;2;6;7;7
27/7/26;0;4;5;4;0;11;5;0;0;9;7;8;8;2;0;8;1;2;1;9
3/8/26;2;3;1;5;10;4;7;5;12;1;0;7;9;9;1;1;8;3;8;4
10/8/26;0;0;5;4;2;4;4;9;3;11;5;3;10;10;4;8;7;4;0;1
17/8/26;4;4;1;3;2;0;4;5;12;0;5;3;10;3;10;1;5;12;8;6
